Mixture	B	CTL	GMP-like	LSPC-Cycle	LSPC-Primed	LSPC-Quiescent	Mono-like	Monocyte	NK	Plasma	ProMono-like	T	cDC	cDC-like	P-value	Correlation	RMSE
BA2409R	0	0.000857487808667181	0.191410224541322	0	0	0.117290582084095	0.146669010616596	0.16160234844537	0.0050945307497097	0	0.0296925537236359	0.00272585181637466	0	0.34465741021423	0	0.938379481113723	0.395195356624447
BA3037R	0	0.0433383327907342	0.312598600659764	0	0.426683923716115	0.0965351250461814	0.0664383374589435	0	0	0	0	0	0	0.0544056803282616	0	0.223944561821489	0.974519153217118
BA2496R	0.000337211882081432	0.00565620845800787	0.351931693355098	0	0	0.0220118932683831	0	0.341316621033508	0.00527162847648288	0	0.146677946169954	0	0	0.126796797356485	0	0.918794787721226	0.398861593541527
BA2172R	0	0.0255615948048755	0.58543538074349	0.0531227673534625	0	0.0572999208689469	0	0.016027114236875	0	0	0.0283816806541754	0	0	0.234171541338174	0	0.476079300765602	0.901671057603096
BA2865R	0	0.0117464929659994	0.439569700241632	0	0.0631536983807434	0.245802938962772	0.0602612152257014	0	0	0	0.0370306562114636	0	0	0.142435298011688	0	0.589850307173644	0.846616765668601
BA2923R	0	0.00349087276964565	0.223630856036893	0	0	0.072938068545339	0.15712197007043	0.178109790323895	0.000588622836814531	0	0.113358245794974	0	0	0.250761573622009	0	0.933647301439472	0.359562467326839
BA2751R	0	0	0.0488335626629113	0.0341820153037251	0.214493611182537	0.177223262115306	0.228081976487815	0	0.00170134654291477	0	0	0.0191001465802613	0.190016971319687	0.0863671078048421	0	0.695447407030321	0.72354148489458
BA2480R	0	0	0.538991316906037	0	0.0674318493212131	0.0937802258379378	0.0404296279538752	0.0539357492893978	0.0222749451652368	0	0.0643701939857682	0.0187395476556512	0	0.100046543884883	0	0.757788635391929	0.72564568388156
BA2286R	0	0.0181084528400407	0.545227386448951	0	0	0.217412369166889	0.091098080389919	0.0582222668665165	0.0138650849687994	0	0.0307130074917329	0	0.0157150277510947	0.00963832407605641	0	0.658756574231153	0.780336241858818
BA2922R	0.0281404658428421	0	0.521202844408456	0	0	0.283428826543973	0	0.0403802632825593	0.014626936373375	0	0.0319254636072768	0.0371407141183476	0	0.0431544858231702	0	0.646795327046335	0.853269316829417
BA2452R	0	0.0158084463879881	0.323453676809842	0.455066131084229	0	0.107226710052737	0	0.0260125939797721	0.0014113381640525	0	0.0256270858257387	0	0	0.0453940176956402	0	0.420549940619512	0.932171242683187
BA2887R	0	0	0.382071246233641	0	0.00994377106632497	0.238982667087958	0	0.0934300416529649	0.0128491383793683	0	0.0864913828686173	0	0	0.176231752711126	0	0.54569475970808	0.841422261996159
BA2712R	0	0	0.366369134175077	0	0	0.0585552256958079	0.104653816856409	0.00542403117938737	0	0	0.248394107078445	0	0	0.216603685014874	0	0.944521299814136	0.328752363082143
BA2068R	0.00501680020452616	0.0117639635908274	0.737324275444077	0	0	0.16107894051933	0.0256403915581062	0	0.00706910924760522	0	0.0343154977930019	0	0	0.0177910216425259	0	0.565475147944342	0.866804073337289
BA2236R	0	0	0.493285866808607	0	0	0.144917837500821	0.0239525695953957	0.0507997656284278	0.00499360031639309	0	0.110962473727244	0	0	0.171087886423111	0	0.750840667976575	0.698007174422754
BA2104R	0	0.00504820929786362	0.098305977945678	0	0	0.0629046564456626	0.373562120847139	0.0898644695299895	0	0	0	0	0	0.370314565933667	0	0.947275328399762	0.326659305983639
BA2921R	0	0.00772493777045819	0.129456344333807	0	0.0904608513373982	0.435286534166537	0	0.0695676552860067	0.00305481552555984	0	0.0620740976087735	0	0	0.20237476397146	0	0.423475459172663	0.908748465802774
BA2449R	0	0	0.743274966762555	0	0	0.0693001362180202	0.124242426340541	0	0	0	0	0	0.0631824706788841	0	0	0.505665562975381	0.867979680466781
BA2003R	0	0.0146722231153547	0.164275312457992	0	0.162921380638858	0.255058085904011	0.0809056892265065	0.124090937775395	0.000747881581641958	0.00159166943505077	0.0269779098555978	0	0	0.168758910009593	0	0.714366993003186	0.729860613852434
BA2360R	0.00637946403925086	0	0.400503825240727	0.121991078510893	0.0328948137392024	0.16773529747533	0.0677045881092694	0.0742577259282513	0.0216814152693059	0	0	0	0.10685179168777	0	0	0.619760153258546	0.818379312945339
BA2802R	0	0.0186548288472121	0	0.0968658045645578	0.130000173490591	0.279449104732414	0	0.252174260039518	0.029981340462218	0	0.0951901487974121	0	0	0.0976843390660767	0	0.67330797645323	0.739261643725059
BA2235R	0.000304260960072256	0.0134941330240418	0.273486021709861	0	0	0.163148068912832	0	0.198067372677388	0.00994598928494065	0	0.0860851259589716	0	0	0.255469027471892	0	0.859110435232595	0.560036161669319
BA2858R	0.00153634433594275	0.00312196274236638	0.467943069526808	0	0	0	0	0.423339713147765	0.00524266353635864	0.00103661541384147	0.0124607049678721	0.00192262326275999	0	0.0833963030662857	0	0.67267311039179	0.75440143474049
BA3038R	0	0.000876180878554309	0.485497884469724	0	0	0.00938107348535001	0.0639366387941926	0.159741588830444	0.00119185527200053	0	0.02342290958948	0	0	0.255951868680255	0	0.860392687345365	0.582867338354684
BA3006R	0.000619340646848327	0	0.326079412449578	0	0.185076671497561	0.273730685639171	0.0744421809973483	0	0.00244745987464041	4.47151723085685e-07	0	0	0	0.13760380174313	0	0.467124606151591	0.908527748770976
BA2245R	0	0	0	0.115032409817089	0.300806844548035	0.496060349262361	0.0191024098752011	0	0.00370839796812834	0	0.0155729946311	0.0206202401850439	0	0.0290963537130415	0	0.319473545741971	0.965183033832258
BA2667R	0.00322099473520419	0.00681200317537722	0.419161957726522	0	0	0.103104017860803	0	0.238282004823498	0.0200601486963264	0	0.0170440341946975	0	0	0.192314838787572	0	0.842656364472022	0.615856689699973
BA2239R	0	0.0132330211268266	0.242613661061004	0	0	0.0187559518491727	0.284579152197366	0.0543351620217113	0	0	0	0	0	0.386483051743919	0	0.889338375932542	0.467059515230392
BA2782R	0	0.0253335045171342	0.322359094156749	0	0	0.0303283832281417	0.192284581724375	0.0803566967092358	0	0	0	0	0	0.349337739664364	0	0.850267835359946	0.561751935708813
BA2649R	0.000254857478051341	0.0046887769041436	0.667715850966696	0	0	0.0895608079511976	0	0.0910223923760701	0.00281488312626972	0.000526520232190846	0.0154633809963028	0.000561803902048832	0	0.12739072606703	0	0.440347182969136	0.904208012426305
BA2488R	0	0	0.644414463438325	0	0.00340657489604923	0.0480620628766234	0	0.0497753471562695	0.0180259830093568	0	0.0717606084016463	0	0	0.164554960221729	0	0.527629543858782	0.857458818311219
BA2861R	0.00101844350692604	0	0.536111817516231	0	0	0.10500457419511	0	0.227307529590803	0.0112111037389105	0	0.0218373994919318	0	0	0.0975091319600885	0	0.742111986032814	0.703788890460309
BA2909R	0.00710190509174594	0.00631843797691859	0.478175658421298	0	0	0.0207964575061178	0.0952179219342446	0.386429232651799	0.00566213752932016	0	0	0.000298248888554937	0	0	0	0.89831290548409	0.439512850515924
BA2429R	0.075297312876616	0.0764633981716112	0.414654622585813	0	0	0.092128598758885	0	0.121676879521682	0.164126321288974	0	0.0134910124630749	0	0	0.0421618543333436	0	0.563646257204261	0.859300673702597
BA2653R	0.0122543478406696	0	0.268568402553497	0.0458794851933007	0.0390452039632661	0.0368744637225412	0	0.425161755206064	0.0466485170911025	0.00139349573536112	0	0.0463440094434265	0	0.0778303192507711	0	0.701506413732594	0.716966719825337
BA2134R	0	0.0050203116702517	0.15359249693973	0	0	0.100842690594973	0.251720560412301	0.199202109358447	0	0	0	0	0	0.289621831024298	0	0.926326256418464	0.376913660856405
BA2947R	0.000938872970628849	0.00437070509567829	0.691054999140803	0	0.0257518193524102	0.111135522216	0.0351607391129289	0.107925656167102	0.000164952273656176	0	0	0	0.0234967336707933	0	0	0.718599444614167	0.776531682056122
BA2032R	0	0.0341946252173408	0.135815913631826	0	0.390457610654805	0.198837755196112	0.0927926028835901	0	0	0	0	0	0	0.147901492416327	0	0.2801460069515	0.959946809264925
BA2162R	0	0.0187905209503113	0.393166754875366	0	0.0512346655026568	0.156873611309672	0	0.313720010779058	0.0119587559826582	0	0	0	0	0.0542556806002778	0	0.719745537274727	0.704709947332667
BA2564R	0	0.00583297374168253	0.463939319478032	0	0	0.0543298436271307	0.0525415664138744	0.24160501213272	0	0	0	0	0	0.18175128460656	0	0.894172560335707	0.526767343381962
