Reads	Levels	Name	Filename
6047	P	Proteobacteria	9c70490e-3cf5-4cf7-82e4-82e1a894c835.rna_seq.transcriptome.gdc_realn_combined_non_human_non_contaminant_krakenuniq.report
1174	P	Actinobacteria	9c70490e-3cf5-4cf7-82e4-82e1a894c835.rna_seq.transcriptome.gdc_realn_combined_non_human_non_contaminant_krakenuniq.report
792	P	Firmicutes	9c70490e-3cf5-4cf7-82e4-82e1a894c835.rna_seq.transcriptome.gdc_realn_combined_non_human_non_contaminant_krakenuniq.report
215	P	Cyanobacteria	9c70490e-3cf5-4cf7-82e4-82e1a894c835.rna_seq.transcriptome.gdc_realn_combined_non_human_non_contaminant_krakenuniq.report
2	P	Tenericutes	9c70490e-3cf5-4cf7-82e4-82e1a894c835.rna_seq.transcriptome.gdc_realn_combined_non_human_non_contaminant_krakenuniq.report
2	P	Deinococcus-Thermus	9c70490e-3cf5-4cf7-82e4-82e1a894c835.rna_seq.transcriptome.gdc_realn_combined_non_human_non_contaminant_krakenuniq.report
2	P	Chloroflexi	9c70490e-3cf5-4cf7-82e4-82e1a894c835.rna_seq.transcriptome.gdc_realn_combined_non_human_non_contaminant_krakenuniq.report
33	P	Bacteroidetes	9c70490e-3cf5-4cf7-82e4-82e1a894c835.rna_seq.transcriptome.gdc_realn_combined_non_human_non_contaminant_krakenuniq.report
1	P	Gemmatimonadetes	9c70490e-3cf5-4cf7-82e4-82e1a894c835.rna_seq.transcriptome.gdc_realn_combined_non_human_non_contaminant_krakenuniq.report
24	P	Candidatus Saccharibacteria	9c70490e-3cf5-4cf7-82e4-82e1a894c835.rna_seq.transcriptome.gdc_realn_combined_non_human_non_contaminant_krakenuniq.report
7	P	Planctomycetes	9c70490e-3cf5-4cf7-82e4-82e1a894c835.rna_seq.transcriptome.gdc_realn_combined_non_human_non_contaminant_krakenuniq.report
4	P	Acidobacteria	9c70490e-3cf5-4cf7-82e4-82e1a894c835.rna_seq.transcriptome.gdc_realn_combined_non_human_non_contaminant_krakenuniq.report
2	P	Calditrichaeota	9c70490e-3cf5-4cf7-82e4-82e1a894c835.rna_seq.transcriptome.gdc_realn_combined_non_human_non_contaminant_krakenuniq.report
2	P	Nitrospirae	9c70490e-3cf5-4cf7-82e4-82e1a894c835.rna_seq.transcriptome.gdc_realn_combined_non_human_non_contaminant_krakenuniq.report
