"TermID" "GeneID"
"1" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 102
"2" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 6868
"3" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 537
"4" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 535
"5" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 23545
"6" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 50617
"7" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 533
"8" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 527
"9" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 9114
"10" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 245972
"11" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 8992
"12" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 155066
"13" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 523
"14" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 525
"15" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 526
"16" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 528
"17" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 245973
"18" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 51382
"19" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 529
"20" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 90423
"21" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 9296
"22" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 9550
"23" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 534
"24" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 127124
"25" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 51606
"26" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 836
"27" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 6352
"28" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 998
"29" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 1147
"30" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 1445
"31" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 2919
"32" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 3576
"33" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 3577
"34" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 3579
"35" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 1956
"36" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 50848
"37" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 28964
"38" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 1839
"39" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 150084
"40" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 3551
"41" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 8517
"42" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 58494
"43" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 83700
"44" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 3725
"45" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 4067
"46" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 6416
"47" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 9020
"48" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 5602
"49" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 5600
"50" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 6300
"51" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 5603
"52" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 1432
"53" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 5599
"54" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 5601
"55" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 4233
"56" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 4790
"57" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 4792
"58" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 10392
"59" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 5058
"60" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 5335
"61" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 5336
"62" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 5781
"63" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 5803
"64" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 5879
"65" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 5970
"66" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 6714
"67" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 10312
"68" "KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION" 7082
"69" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 84168
"70" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 118429
"71" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 51606
"72" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 567
"73" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 801
"74" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 867
"75" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 79872
"76" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 928
"77" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 999
"78" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 11151
"79" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 1499
"80" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 1500
"81" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 1511
"82" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 80824
"83" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 1938
"84" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 2023
"85" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 2060
"86" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 5045
"87" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 2885
"88" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 2931
"89" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 2984
"90" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 1839
"91" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 9146
"92" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 3320
"93" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 3326
"94" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 3836
"95" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 3837
"96" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 4057
"97" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 5604
"98" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 5605
"99" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 5606
"100" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 6416
"101" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 5608
"102" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 5609
"103" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 5594
"104" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 5595
"105" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 4233
"106" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 4360
"107" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 79849
"108" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 4843
"109" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 10015
"110" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 5230
"111" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 5868
"112" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 7879
"113" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 57674
"114" "REACTOME_BACTERIAL_INFECTION_PATHWAYS" 6233
